ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,30,60,66,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,4.25,2.96,0.7,1.0425295463873245
7,30,60,66,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,4.25,2.96,0.7,1.0425295463873245
7,30,60,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,15,-0.075,4.25,2.96,0.7,1.0425295463873245
7,30,60,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,15,-0.075,4.25,2.96,0.7,1.0425295463873245
7,30,60,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,15,-0.075,4.25,2.96,0.7,1.0425295463873245
10,30,52,66,46,0.8,24,5,10,5,5,5,100.0,100.0,50.0,5,5,5,0,5,0,11,103,-0.5137,8.13,4.14,0.66,1.08132597507157
7,30,52,62,42,0.4,24,13,20,13,13,8,61.54,100.0,65.0,13,13,7,0,7,0,18,252,-1.2521,12.66,8.55,0.65,1.1266129643795704
7,20,60,62,42,0.8,24,10,14,10,10,7,70.0,100.0,71.43,10,10,4,0,4,0,12,194,-0.9653,11.88,8.33,0.46,1.1187956868796223
7,30,52,62,38,1.2,24,5,5,5,5,3,60.0,100.0,100.0,5,5,0,0,0,0,2,114,-0.5684,10.26,8.33,0.26,1.1025659064147355
10,30,60,66,38,0.8,24,5,5,4,4,4,100.0,80.0,80.0,4,4,2,1,1,0,2,86,-0.4291,9.69,4.67,0.08,1.0968865121261246
7,30,52,66,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,40,-0.1998,4.9,4.19,-0.13,1.0490024601742411
7,30,52,66,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,40,-0.1998,4.9,4.19,-0.13,1.0490024601742411
10,20,52,62,38,1.2,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,95,-0.4739,10.64,6.89,-0.13,1.1063774950144485
10,20,52,66,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,40,-0.1998,4.9,4.19,-0.13,1.0490024601742411
10,20,52,62,46,0.8,24,11,19,10,10,8,80.0,90.91,52.63,10,10,10,1,9,0,19,169,-0.8415,11.29,6.78,-0.58,1.1128907996443693
7,30,52,62,46,1.2,48,5,6,5,5,3,60.0,100.0,83.33,5,5,1,0,1,0,2,82,-0.4092,10.16,8.33,-0.66,1.1016164996890203
7,30,52,62,46,1.2,96,5,6,5,5,3,60.0,100.0,83.33,5,5,1,0,1,0,2,82,-0.4092,10.16,8.33,-0.66,1.1016164996890203
10,20,52,66,46,0.8,24,4,9,4,4,4,100.0,100.0,44.44,4,4,5,0,5,0,10,74,-0.3693,6.98,4.14,-0.76,1.069833948086296
10,30,52,58,42,0.8,24,18,21,13,13,11,84.62,72.22,61.9,13,13,13,5,8,1,18,260,-1.2916,14.21,7.42,-0.77,1.1420671290997992
10,20,60,62,38,0.8,24,11,13,10,10,7,70.0,90.91,76.92,10,10,4,1,3,1,10,230,-1.1434,11.54,8.32,-0.96,1.1154456804963093
7,30,52,62,46,0.4,24,13,24,13,13,8,61.54,100.0,54.17,13,13,11,0,11,0,25,238,-1.183,11.55,8.55,-1.0,1.115518571560012
7,30,52,66,46,1.2,24,2,3,2,2,2,100.0,100.0,66.67,2,2,1,0,1,0,2,32,-0.1599,5.56,4.14,-1.08,1.055561434287036
7,30,52,66,46,1.2,48,2,3,2,2,2,100.0,100.0,66.67,2,2,1,0,1,0,2,32,-0.1599,5.56,4.14,-1.08,1.055561434287036
