fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
12,20,55,45,15,12,12,12,5,41.67,80.0,100.0,12,12,3,3,0,0,0,3.61,8.47,-9.56,1.0360741956240493
8,20,58,42,13,11,11,11,5,45.45,84.62,100.0,11,11,2,2,0,0,1,3.23,8.89,-9.74,1.0322965383819875
10,20,58,42,13,11,11,11,5,45.45,84.62,100.0,11,11,2,2,0,0,0,3.23,8.89,-9.74,1.0322965383819875
12,30,55,42,11,8,9,9,3,33.33,81.82,112.5,9,9,2,2,0,1,0,3.6,9.44,-9.83,1.0360395719394768
10,40,52,42,11,9,10,10,4,40.0,90.91,111.11,10,10,1,1,0,1,2,3.16,10.37,-10.09,1.0316270811362156
5,20,58,42,15,11,11,11,5,45.45,73.33,100.0,11,11,4,4,0,0,3,4.48,8.89,-10.19,1.0447783222661493
12,30,52,45,16,11,12,12,5,41.67,75.0,109.09,12,12,4,4,0,4,0,5.21,10.21,-10.34,1.0521324120467017
5,60,52,42,10,8,9,9,4,44.44,90.0,112.5,9,9,1,1,0,0,0,3.25,10.75,-10.53,1.0325051249054218
12,20,55,42,11,11,11,11,5,45.45,100.0,100.0,11,11,0,0,0,0,0,0.8,9.44,-10.54,1.0079830118892412
5,20,52,45,21,14,15,15,6,40.0,71.43,107.14,15,15,6,6,0,2,3,3.77,9.16,-11.15,1.0376599803726065
5,60,55,42,10,8,9,9,3,33.33,90.0,112.5,9,9,1,1,0,0,0,2.54,10.75,-11.24,1.0253588264598072
8,40,55,42,12,7,8,8,3,37.5,66.67,114.29,8,8,4,4,0,1,1,4.34,9.43,-11.26,1.0434270456030694
15,30,52,42,11,9,10,10,4,40.0,90.91,111.11,10,10,1,1,0,3,0,2.09,10.57,-11.41,1.0208661861100967
5,20,58,45,17,11,11,11,6,54.55,64.71,100.0,11,11,6,6,0,0,2,4.22,8.7,-11.51,1.042236034853425
8,50,58,42,9,7,8,8,3,37.5,88.89,114.29,8,8,1,1,0,0,0,2.53,10.95,-11.57,1.025271046122964
8,50,55,45,10,8,8,8,5,62.5,80.0,100.0,8,8,2,2,0,0,0,5.04,11.47,-11.72,1.0504256589067402
5,60,58,42,10,8,9,9,3,33.33,90.0,112.5,9,9,1,1,0,0,0,2.28,10.97,-11.76,1.0228175452086272
8,30,58,45,13,11,12,12,5,41.67,92.31,109.09,12,12,1,1,0,0,0,1.69,10.69,-11.84,1.0169379310352304
5,50,58,45,12,10,11,11,5,45.45,91.67,110.0,11,11,1,1,0,0,0,2.08,11.26,-12.18,1.0207575131841655
5,30,58,45,14,11,12,12,5,41.67,85.71,109.09,12,12,2,2,0,0,2,2.44,10.99,-12.43,1.0243728714311404
5,30,55,45,15,11,11,11,6,54.55,73.33,100.0,11,11,4,4,0,0,1,3.85,10.3,-12.51,1.0384647252234862
10,30,55,42,12,9,10,10,4,40.0,83.33,111.11,10,10,2,2,0,2,1,1.43,10.07,-12.6,1.0143230497477533
8,50,55,42,9,7,8,8,3,37.5,88.89,114.29,8,8,1,1,0,0,0,1.94,11.47,-12.77,1.0193821544136132
5,50,55,45,13,10,11,11,5,45.45,84.62,110.0,11,11,2,2,0,0,0,2.39,11.26,-12.93,1.0239226662760568
8,40,52,45,16,10,11,11,6,54.55,68.75,110.0,11,11,5,5,0,3,2,3.25,10.01,-12.94,1.0325350186396844
10,30,52,45,16,11,12,12,6,50.0,75.0,109.09,12,12,4,4,0,3,0,4.01,11.37,-12.94,1.0400609526801516
10,20,52,42,18,11,12,12,5,41.67,66.67,109.09,12,12,6,6,0,4,0,2.2,8.89,-13.01,1.0219864940743373
8,50,52,42,10,8,9,9,4,44.44,90.0,112.5,9,9,1,1,0,0,0,1.34,11.47,-13.29,1.013438270493401
15,20,55,45,14,10,11,11,5,45.45,78.57,110.0,11,11,3,3,0,2,0,2.29,10.95,-13.56,1.0228688436993245
15,40,52,42,9,7,8,8,3,37.5,88.89,114.29,8,8,1,1,0,0,0,0.46,11.25,-13.99,1.0046416257299233
5,40,52,48,19,12,13,13,6,46.15,68.42,108.33,13,13,6,6,0,5,0,3.73,11.3,-14.15,1.0373199978458933
8,40,52,42,15,9,10,10,4,40.0,66.67,111.11,10,10,5,5,0,3,2,2.51,10.2,-14.17,1.0251170208304248
5,40,58,42,12,10,11,11,4,36.36,91.67,110.0,11,11,1,1,0,0,1,-0.43,10.91,-14.27,0.9957313684962718
5,40,55,45,15,10,11,11,5,45.45,73.33,110.0,11,11,4,4,0,1,0,3.92,12.27,-14.31,1.039160308331813
8,20,55,42,15,10,10,10,5,50.0,66.67,100.0,10,10,5,5,0,0,1,1.24,9.46,-15.12,1.0123641274856643
8,30,58,42,13,10,11,11,4,36.36,84.62,110.0,11,11,2,2,0,0,0,-0.52,10.69,-15.16,0.9947690622521411
8,30,52,45,16,13,14,14,5,35.71,87.5,107.69,14,14,2,2,0,0,0,0.51,11.98,-15.36,1.005137241022815
12,30,52,42,14,10,11,11,4,36.36,78.57,110.0,11,11,3,3,0,4,0,0.86,11.65,-15.83,1.0085864505724123
12,20,52,42,14,12,13,13,5,38.46,92.86,108.33,13,13,1,1,0,0,0,-2.63,10.48,-15.87,0.9736535766477836
8,30,55,45,17,12,13,13,5,38.46,76.47,108.33,13,13,4,4,0,0,0,0.74,11.35,-15.99,1.0074160678679642
8,20,52,42,17,13,14,14,5,35.71,82.35,107.69,14,14,3,3,0,1,1,-1.02,10.95,-16.43,0.9897568844443333
15,20,52,45,17,12,13,13,5,38.46,76.47,108.33,13,13,4,4,0,3,0,0.99,12.31,-16.9,1.0098669101658446
