fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
5,40,55,42,142,87,65,65,23,35.38,45.77,74.71,65,65,100,77,23,80,58,192.01,32.5,143.62,2.9200828129883645
12,40,52,42,140,70,57,57,19,33.33,40.71,81.43,57,57,97,83,14,103,35,189.28,29.91,143.57,2.8928143901280405
10,40,55,42,163,70,53,53,21,39.62,32.52,75.71,53,53,128,110,18,114,42,183.5,24.59,142.66,2.834963930033617
8,50,52,42,174,75,54,54,18,33.33,31.03,72.0,54,54,142,120,22,142,53,186.73,27.31,142.22,2.8673481628557287
12,30,52,42,168,84,58,58,19,32.76,34.52,69.05,58,58,137,110,27,128,62,189.78,31.0,141.21,2.8978390018306315
5,60,52,42,179,79,54,54,22,40.74,30.17,68.35,54,54,151,125,26,142,63,184.24,25.95,141.04,2.8423768214322997
8,40,52,42,179,92,63,63,22,34.92,35.2,68.48,63,63,146,116,30,137,69,182.31,25.27,140.68,2.8230581670309696
8,30,52,42,181,86,65,65,25,38.46,35.91,75.58,65,65,138,116,22,137,58,187.38,32.15,137.97,2.8738339941992703
8,40,55,42,172,86,56,56,24,42.86,32.56,65.12,56,56,147,116,31,120,69,186.96,32.57,136.01,2.869567031103969
15,40,52,42,140,61,53,53,21,39.62,37.86,86.89,53,53,96,87,9,99,24,185.75,33.62,135.43,2.8575122326216076
8,30,55,42,136,91,65,65,24,36.92,47.79,71.43,65,65,98,71,27,71,67,176.32,29.52,131.63,2.76317913157254
10,30,52,42,148,83,65,65,23,35.38,43.92,78.31,65,65,102,83,19,88,47,173.48,27.28,131.26,2.7348239544235144
15,20,52,42,139,88,66,66,24,36.36,47.48,75.0,66,66,96,73,23,69,56,165.23,28.48,121.94,2.6523487433705717
10,20,52,42,166,107,75,75,28,37.33,45.18,70.09,75,75,123,91,32,112,76,157.87,26.97,115.79,2.5787498293228346
5,30,55,42,145,106,75,75,26,34.67,51.72,70.75,75,75,102,70,32,76,78,154.63,33.96,105.18,2.546278844562716
15,30,52,42,127,72,62,62,20,32.26,48.82,86.11,62,62,76,65,11,75,30,143.4,27.87,101.58,2.4339991893645667
12,20,52,42,154,99,73,73,28,38.36,47.4,73.74,73,73,108,81,27,93,64,141.51,29.27,97.18,2.4151127242935515
5,40,52,42,153,114,76,76,25,32.89,49.67,66.67,76,76,116,77,39,95,93,136.49,33.84,86.67,2.364920498108168
5,30,52,42,179,116,82,82,31,37.8,45.81,70.69,82,82,132,97,35,114,85,127.99,36.95,74.05,2.2798780804751293
