fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
12,60,52,42,89,65,55,55,31,56.36,61.8,84.62,55,55,45,34,11,21,27,122.45,19.21,92.9,2.2244830853079454
8,60,58,42,78,61,55,55,27,49.09,70.51,90.16,55,55,30,23,7,8,18,118.31,17.32,92.62,2.1831362648090313
15,40,55,42,85,67,58,58,29,50.0,68.24,86.57,58,58,37,27,10,19,21,120.46,19.55,91.57,2.2046191934040102
8,20,52,42,134,121,83,83,40,48.19,61.94,68.6,83,83,88,50,38,42,83,118.68,16.65,91.41,2.18675688972099
10,40,58,42,78,61,55,55,28,50.91,70.51,90.16,55,55,30,23,7,10,15,118.98,19.11,91.13,2.1898415469063863
10,50,52,42,90,72,60,60,31,51.67,66.67,83.33,60,60,43,30,13,13,29,118.98,19.1,90.23,2.1898384993684155
12,60,55,42,78,65,53,53,29,54.72,67.95,81.54,53,53,38,25,13,22,32,120.03,20.17,90.1,2.2002976099748346
5,30,58,42,93,87,68,68,33,48.53,73.12,78.16,68,68,45,25,20,6,45,116.66,18.0,89.94,2.166637692481391
8,20,55,42,114,103,77,77,39,50.65,67.54,74.76,77,77,63,37,26,23,59,122.3,21.95,89.83,2.2230317951835126
10,30,58,42,81,71,61,61,31,50.82,75.31,85.92,61,61,31,20,11,8,27,116.12,18.47,89.55,2.161178220186575
5,50,55,42,100,82,67,67,31,46.27,67.0,81.71,67,67,49,33,16,25,37,117.44,18.76,89.06,2.1743564515497917
8,60,55,42,85,72,59,59,32,54.24,69.41,81.94,59,59,40,26,14,15,33,119.48,20.79,89.04,2.194831051673535
15,30,58,42,85,68,54,54,27,50.0,63.53,79.41,54,54,46,31,15,13,34,119.7,21.47,87.44,2.1970433927725224
5,20,58,42,133,103,77,77,36,46.75,57.89,74.76,77,77,82,56,26,16,57,112.32,15.93,85.62,2.123155859422234
5,40,58,42,89,76,64,64,29,45.31,71.91,84.21,64,64,38,25,13,6,33,113.08,19.73,84.4,2.130836557427116
10,60,52,42,94,69,58,58,28,48.28,61.7,84.06,58,58,48,36,12,28,26,113.51,20.07,82.88,2.135077123226179
5,20,52,42,156,138,98,98,45,45.92,62.82,71.01,98,98,97,57,40,47,89,107.37,19.41,77.05,2.0737010611394306
12,50,55,42,97,63,56,56,27,48.21,57.73,88.89,56,56,49,41,8,18,18,105.67,20.21,74.52,2.0566562578771386
12,30,55,42,81,76,63,63,30,47.62,77.78,82.89,63,63,32,18,14,15,32,106.88,23.7,74.26,2.068827777770262
12,20,55,42,107,96,70,70,33,47.14,65.42,72.92,70,70,63,37,26,24,58,103.75,20.68,72.4,2.037534358882846
15,40,52,42,78,70,62,62,32,51.61,79.49,88.57,62,62,25,16,9,9,20,98.69,20.89,69.98,1.9869353423069278
5,50,52,42,107,100,74,74,30,40.54,69.16,74.0,74,74,60,33,27,24,60,104.71,25.54,68.14,2.047092194760804
8,30,58,42,92,74,63,63,30,47.62,68.48,85.14,63,63,41,29,12,9,26,98.68,21.54,67.35,1.9867533448311803
8,40,55,42,98,79,63,63,29,46.03,64.29,79.75,63,63,51,35,16,21,35,99.04,21.25,67.17,1.990353775015363
5,40,55,42,111,95,72,72,33,45.83,64.86,75.79,72,72,63,39,24,22,55,106.23,27.52,66.71,2.0622508271838016
5,30,55,42,110,105,78,78,34,43.59,70.91,74.29,78,78,60,32,28,16,65,97.37,21.81,65.55,1.9736936603904083
12,50,52,42,82,70,60,60,31,51.67,73.17,85.71,60,60,33,22,11,12,25,92.51,19.54,64.33,1.9251033635069656
15,20,58,42,92,69,59,59,29,49.15,64.13,85.51,59,59,44,33,11,11,27,94.84,21.71,62.69,1.9484318181940097
15,30,52,42,95,81,66,66,30,45.45,69.47,81.48,66,66,45,29,16,23,37,90.95,22.4,58.57,1.9095028643043483
10,40,55,42,97,73,63,63,28,44.44,64.95,86.3,63,63,45,34,11,22,25,92.64,24.07,57.82,1.926417924664206
